City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,antsiranana,-12.2787,49.2917,24.65,94,100,4.87,MG,1707692010
173,mar del plata,-38.0023,-57.5575,25.01,87,0,2.68,AR,1707692011
174,dzhangala,49.2167,50.3333,-7.17,83,100,5.62,KZ,1707692011
175,sao tome,0.3365,6.7273,27.02,89,75,2.06,ST,1707692011
176,kajaani,64.2273,27.7285,-27.97,76,0,0.51,FI,1707692012
177,klyuchi,52.2667,79.1667,-13.51,87,80,7.31,RU,1707692012
178,siwa oasis,29.2041,25.5195,17.15,22,100,4.25,EG,1707692012
179,balqash,46.8481,74.995,-16.26,81,87,2.61,KZ,1707692012
180,yarmouth,41.7057,-70.2286,7.08,76,0,1.34,US,1707691813
181,keflavik,64.0049,-22.5624,-1.76,74,0,3.6,IS,1707692013
182,villa gesell,-37.2639,-56.973,26.7,84,83,5.59,AR,1707692013
183,constantia,44.1833,28.65,12.61,62,96,9.26,RO,1707692014
184,san antonio de pale,-1.4014,5.6325,28.48,77,97,1.91,GQ,1707692014
185,neftcala,39.3742,49.2472,11.75,60,16,2.71,AZ,1707692014
186,zapolyarnyy,69.4154,30.8136,-18.4,96,100,1.77,RU,1707692015
187,santanyi,39.3546,3.1291,9.26,76,18,6.56,ES,1707692015
188,ribeira brava,32.65,-17.0667,20.4,86,13,2.78,PT,1707692015
189,butembo,0.15,29.2833,16.44,78,88,1.57,CD,1707692016
190,nicoya,10.1483,-85.452,31.66,51,5,2.4,CR,1707692016
191,whitehorse,60.7161,-135.0538,1.17,66,100,4.63,CA,1707691803
192,yendi,9.4427,-0.0099,30.91,9,0,1.69,GH,1707692017
193,nema,57.5067,50.5011,-20.51,99,100,2.23,RU,1707692017
194,khovd,48.0056,91.6419,-0.1,51,23,6.94,MN,1707692017
195,nova sintra,14.8667,-24.7167,20.56,77,0,6.22,CV,1707692017
196,ancud,-41.8697,-73.8203,14.88,64,43,3.35,CL,1707692018
197,tokar,18.4254,37.729,22.04,64,16,3.35,SD,1707692018
198,qaqortoq,60.7167,-46.0333,-17.99,81,88,2.4,GL,1707692018
199,mandera,3.9366,41.867,28.46,31,9,5.52,KE,1707692018
200,koudougou,12.25,-2.3667,27.46,8,0,3.91,BF,1707692019
201,aasiaat,68.7098,-52.8699,-23.01,99,100,4.95,GL,1707692019
202,mana,5.6592,-53.7767,25.97,82,32,4.37,GF,1707692019
203,jamestown,42.097,-79.2353,0.8,82,100,1.34,US,1707692002
204,libreville,0.3925,9.4537,29.01,89,20,1.03,GA,1707692020
205,mount isa,-20.7333,139.5,28.87,70,16,1.54,AU,1707692020
206,sao joao da barra,-21.6403,-41.0511,27.05,88,0,7.19,BR,1707692021
207,fada,9.5667,8.3,24.44,25,1,1.55,NG,1707692021
208,morwell,-38.2333,146.4,28.0,30,0,3.32,AU,1707692022
209,tuburan,6.6439,122.2736,25.05,71,17,5.52,PH,1707692022
210,fiumicino-isola sacra,41.7675,12.2291,11.06,57,0,1.54,IT,1707692022
211,broome,42.2506,-75.833,3.16,82,100,3.6,US,1707692022
212,oban,56.4127,-5.4706,4.1,81,44,3.82,GB,1707692023
213,talnakh,69.4865,88.3972,-35.2,91,16,1.92,RU,1707692023
214,bodaybo,57.8506,114.1933,-10.79,89,100,3.5,RU,1707692024
215,agadez,19.75,10.25,18.77,12,0,1.83,NE,1707692024
216,jijiga,9.35,42.8,19.35,66,23,1.71,ET,1707692025
217,liwale,-9.7667,37.9333,21.57,98,98,0.82,TZ,1707692025
218,buon ma thuot,12.6667,108.05,17.53,83,70,3.96,VN,1707692025
219,crane,31.3974,-102.3501,5.67,69,64,9.58,US,1707692026
220,hithadhoo,-0.6,73.0833,27.52,76,42,3.82,MV,1707692026
221,male,4.1748,73.5089,28.97,74,40,9.26,MV,1707692026
222,pangody,65.85,74.4859,-29.3,100,100,4.06,RU,1707692027
223,hluti,-27.2167,31.6167,17.93,95,100,0.41,SZ,1707692027
224,homer,59.6425,-151.5483,2.09,78,75,5.81,US,1707692027
225,torres,-29.3353,-49.7269,27.15,85,52,2.73,BR,1707692010
226,geraldton,-28.7667,114.6,22.23,88,0,5.14,AU,1707692028
227,punta arenas,-53.15,-70.9167,11.06,54,20,12.35,CL,1707692028
228,conduaga,8.862,117.4893,27.35,73,39,7.47,PH,1707692028
229,alofi,-19.0595,-169.9187,27.94,89,99,3.6,NU,1707692029
230,kerben,40.2951,72.1863,1.28,36,77,1.49,KG,1707692029
231,marka,1.7159,44.7717,25.73,85,17,6.73,SO,1707692029
232,juan de ayolas,-27.4,-56.9,31.22,47,85,2.57,PY,1707692029
233,kone,-21.0595,164.8658,31.1,61,0,1.22,NC,1707692030
234,weno,7.4515,151.8468,27.97,74,40,3.6,FM,1707692030
235,khorixas,-20.3667,14.9667,26.5,44,94,1.85,NA,1707692030
236,portland,45.5234,-122.6762,13.33,86,75,4.02,US,1707691937
237,fale old settlement,-9.3852,-171.2468,28.4,79,100,5.5,TK,1707692031
238,susuman,62.7833,148.1667,-36.39,100,100,0.27,RU,1707692031
239,hermanus,-34.4187,19.2345,21.56,64,2,4.09,ZA,1707692031
240,mount gambier,-37.8333,140.7667,20.96,56,5,1.05,AU,1707692032
241,nishinoomote,30.7333,131.0,11.57,62,5,9.96,JP,1707692032
242,aklera,24.4167,76.5667,14.76,37,95,2.32,IN,1707692033
243,cholpon-ata,42.6494,77.0823,-0.97,54,91,1.89,KG,1707692033
244,mahibadhoo,3.7833,72.9667,27.92,72,62,8.74,MV,1707692033
245,murzuq,25.9155,13.9184,18.86,10,9,4.22,LY,1707692034
246,port douglas,-16.4833,145.4667,27.75,70,2,2.05,AU,1707691846
247,lazaro cardenas,17.9583,-102.2,26.64,61,0,4.04,MX,1707692034
248,teluknaga,-6.0989,106.6381,26.21,94,20,2.57,ID,1707692035
249,tibati,6.4667,12.6333,22.88,28,4,0.26,CM,1707692035
250,bidar,17.9,77.55,21.12,59,68,3.81,IN,1707692036
251,bafra,41.5678,35.9069,14.91,49,100,3.57,TR,1707692036
252,alice springs,-23.7,133.8833,26.75,61,75,0.0,AU,1707691905
253,catamayo,-3.9833,-79.35,27.14,52,75,5.66,EC,1707692037
254,pacocha,-17.5833,-71.3333,22.5,83,100,2.26,PE,1707692037
255,severo-yeniseyskiy,60.3725,93.0408,-18.01,94,100,4.47,RU,1707692037
256,lihue,21.9789,-159.3672,25.58,67,0,4.63,US,1707691970
257,sao francisco,-15.9486,-44.8644,21.77,92,91,0.21,BR,1707692037
258,pisco,-13.7,-76.2167,27.03,69,0,9.26,PE,1707692038
259,iskateley,67.6803,53.1512,-30.55,100,52,1.79,RU,1707692038
260,port lincoln,-34.7333,135.8667,21.37,65,0,2.35,AU,1707692038
